text,label
Bài thơ được sáng tác khi Bác bị giải từ nhà lao Tĩnh Tây đến nhà lao Thiên Bảo.,Vietnamese
Bức tranh chiều tối được nhìn qua cặp mắt của người tù tay đeo gông chân vướng xiềng.,Vietnamese
"Buổi chiều thường là lúc đoàn tụ, nhưng cũng là khi con người ta thấy vô cùng cô đơn nếu không có một chốn để về.",Vietnamese
Cánh chim mỏi sau một ngày kiếm ăn cũng đã bay về tổ của mình.,Vietnamese
"Giữa thiên nhiên bao la hùng vĩ, con người và cảnh vật đều như dừng lại, chỉ có chòm mây ấy vẫn nhẹ nhàng trôi, càng làm nổi bật lên sự yên ắng, êm ả của buổi chiều tối nơi rừng núi.",Vietnamese
"Chòm mây ấy cũng giống như Bác, đang trong tình cảnh tù tội, vẫn phải cô độc bước đi.",Vietnamese
"Giữa cảnh buồn của thiên nhiên như trong thơ cổ, cô sơn nữ hiện lên như một điểm sáng, làm cho cả bức tranh trở nên sinh động, vui tươi hơn.",Vietnamese
Cô gái đang miệt mài xay ngô bên lò than rực hồng để chuẩn bị bữa tối.,Vietnamese
"Bức tranh vừa ấm áp bởi cảnh tượng lao động khỏe khoắn của người thôn nữ lao động, vừa bởi cái ánh hồng của bếp lò.",Vietnamese
"Đó chỉ là một thứ hạnh phúc bình dị, vậy mà Bác vẫn gạt bỏ hết những đau đớn, mệt mỏi về thân xác để cảm nhận được.",Vietnamese
"Bài thơ chỉ đơn giản là tả về phong cảnh thiên nhiên và con người nơi xóm núi khi chiều muộn, đồng thời, cũng ẩn chứa trong đó nỗi niềm ước mong được tự do, được sum họp của Người.",Vietnamese
"Bài thơ được sáng tác trong thời kì cuộc kháng chiến chống Mĩ đang diễn ra rất gay go, ác liệt.",Vietnamese
Sự nghiệp cầm bút của Nguyễn Tuân đạt được rất nhiều thành tựu kể cả trước và sau cách mạng.,Vietnamese
"Dòng sông không trôi giữa đôi bờ “cát trắng phẳng lì” thơ mộng mà bờ sông “dựng vách thành”, cao vút, dựng đứng.",Vietnamese
"Người ta thấy hiện ra trước mắt là một khúc sông Đà vừa sâu, vừa hẹp, vừa tối, vừa lạnh đủ để bất kỳ ai đến đây cũng phải rùng mình sợ hãi.",Vietnamese
"Kết cấu trùng điệp, nhịp văn nhanh mạnh khiến người đọc không khỏi hãi hùng trước những âm thanh của sóng, gió, nước, đá.",Vietnamese
Hình ảnh so sánh này vừa gợi độ sâu hun hút của những cái xoáy nước vừa khiến người đọc khiếp sợ khi hình dung ra nó.,Vietnamese
Càng sợ hãi hơn khi đọc những câu văn miêu tả âm thanh của những cái hút nước.,Vietnamese
Ngòi bút sắc sảo của Nguyễn Tuân khiến người đọc cảm giác như đang được xem một bộ phim hành động hấp dẫn nhưng cũng vô cùng đáng sợ.,Vietnamese
Nhà văn hướng người đọc chú ý vào âm thanh của chúng và miêu tả lần lượt theo trình tự từ xa đến gần.,Vietnamese
Cách kết hợp khéo léo giữa so sánh và nhân hoá này đã khiến sông Đà hiện lên với một tâm địa phức tạp.,Vietnamese
"Mùa xuân dòng xanh ngọc bích, vừa trong xanh vừa óng ánh.",Vietnamese
Thu sang nước sông chín đỏ như da mặt người bầm đi vì rượu bữa.,Vietnamese
"Trên phương diện hành chính quan phương, đây là một văn kiện lịch sử nhằm thông báo, tuyên bố rộng rãi về nền độc lập của dân tộc sau nhiều năm gian truân, khổ cực, “tướng sĩ một lòng”.",Vietnamese
"Nhưng Bình Ngô đại cáo là một bản đại cáo khác xa với ý nghĩa thông thường, mang tính thời vụ đó.",Vietnamese
"Bởi cốt lõi nhân nghĩa mà Ức Trai tôn thờ là yên dân, làm cho nhân dân có cuộc sống yên ổn, hạnh phúc.",Vietnamese
"Tức là vì thương dân mà phải diệt trừ lũ bạo ngược đã hại dân, bao gồm bọn giặc Minh với ách đô hộ đầy hà khắc và cả bọn bán nước trục lợi, cầu vinh.",Vietnamese
Biết dựa sức mạnh vào dân là phương kế chính trị lớn lao đem lại thắng lợi to lớn cho dân tộc ở mọi thời đại.,Vietnamese
"Từ lập trường nhân nghĩa ấy, tác giả đã xây dựng một cơ sở lý luận vững chắc, nêu lên được luận đề chính nghĩa ở ngay phần mở đầu của bài cáo.",Vietnamese
Đây là đoạn văn đã chạm khắc vào lịch sử dân tộc những giá trị bất khả xâm phạm về nền độc lập một cách đầy đủ nhất.,Vietnamese
"Văn hiến, núi sông bờ cõi, phong tục, lịch sử và hào kiệt Đại Việt ta so với Đại Hán, Bắc phương đều có cả, thậm chí tương xứng, song hành.",Vietnamese
"Hiện tại chúng tôi xin để các câu hỏi ở đây, khi nào gia đình xử lý xong việc nợ nần sẽ quay lại trả lời sau.",Vietnamese
"Hoặc, quí vị bà con có thể tự vô trả lời lẫn nhau để không khí thêm xôm tụ.",Vietnamese
Không bao giờ biết chùn bước trước bất cứ khó khăn nào.,Vietnamese
Cuộc sống hiện đại khoa học kĩ thuật tiến bộ thói quen hằng ngày không gói gọn trong bốn bức tường chỉ có học học và học.,Vietnamese
Thời gian hằng ngày dường như được mở rộng hơn với rất nhiều những hoạt động thú vị như chiến dịch mùa hè xanh.,Vietnamese
"Trên thế giới, có rất nhiều người đã đạt được thành công của riêng mình, họ đều có bí quyết, nhưng họ cũng không ngần ngại mà chia sẻ cho mọi người để học tập theo.",Vietnamese
Thành công chỉ đến khi chúng ta cố gắng hết sức và không ngừng hoàn thiện bản thân mình.,Vietnamese
"Cố gắng hết sức là khi bạn không bao giờ bỏ cuộc khi khó khăn ập tới, luôn tìm ra những cách giải quyết để vượt qua những thử thách đó.",Vietnamese
Chỉ có con người là ngay từ thuở lọt lòng thì chẳng là gì cả.,Vietnamese
"Đúng vậy, con người không hề có một chút bản năng đặc biệt nào, tất cả mọi thứ hoàn toàn phụ thuộc vào người khác, phải trải qua sự rèn luyện, tập tành mới có được khả năng.",Vietnamese
"Con người khi sinh ra vốn chẳng biết gì, chỉ nhắm nghiền đôi mắt bé xíu và oa oa oà lên những tiếng khóc đòi bú mẹ, thật sự chẳng thể nào chạm được tới mẹ.",Vietnamese
"Hai tháng biết lật, ba tháng biết bò, sáu tháng chập chững biết đi, mười tháng bắt đầu hoàn thiện bước đi của mình.",Vietnamese
"Giống như trong học tập đâu phải ai mới đầu cũng được ngồi trên chiếc ghế đại học, mà phải bắt đầu từ lớp một, trải qua mười hai năm rèn luyện gian khổ mới được ngồi vững trên chiếc ghế ấy.",Vietnamese
"Bên cạnh là những kẻ chỉ biết trông chờ vào người khác, không biết tự nỗ lực bản thân trong học hành cũng như trong công việc.",Vietnamese
Đó chính là bệnh thành tích trong giáo dục cùng với những tiêu cực trong thi cử.,Vietnamese
"Kết quả đó không chỉ là một lợi ích vật chất hay tinh thần cá nhân, tuy rằng phần lớn yếu tố tạo nên động lực khiến con người phải nỗ lực nhiều hơn, tốt hơn để đạt thành tích chính là lợi ích cho mình.",Vietnamese
"Nhưng con người vẫn có thể làm hết sức mình vì lợi ích chung, lợi ích của xã hội, của đất nước.",Vietnamese
"Xét từ phía ngành giáo dục, thành tích giáo dục là thước đo sự thành công trong nghề nghiệp của giáo viên nói riêng, của nhà trường và địa phương nói chung.",Vietnamese
"Đáng tiếc thay, trong thời gian qua, chính ngành giáo dục lại ""thiết kế"" ra thước đo trên bằng các chỉ tiêu giáo dục khô cứng.",Vietnamese
"Giáo dục chính là điểm xuất phát, là nơi sản sinh ra nguồn năng lực cho sự cường thịnh của một nước, một cộng đồng dân tộc.",Vietnamese
"Đất nước chúng ta đang tiến bước trên con đường đổi mới, mở cửa, hội nhập và tranh đua với thế giới để giành lấy một vi trí xứng đáng trên hành tinh này.",Vietnamese
"Vì vậy, chúng ta hãy cùng chung tay góp sức để đẩy lùi những tiêu cực và bệnh thành tích ấy, để đưa nước Việt Nam ta ngày càng phát triển vững mạnh.",Vietnamese
Những phẩm chất cao quí trong tâm hồn con người luôn là một mục tiêu mà chúng ta vươn tới.,Vietnamese
"Nó không quá cao siêu, chỉ là những gì nhỏ nhất đủ để đánh giá một con người.",Vietnamese
"Nghĩ phải đi đôi với hành động, và những phẩm chất đó cũng cần hành động để thể hiện chúng ta.",Vietnamese
"Vào một ngày cuối tháng 3, trong một tâm trạng chán chường và tuyệt vọng, tôi đến nhà sách Thăng Long trên đường Xô Viết Nghệ Tĩnh để tìm mua vài cuốn sách.",Vietnamese
"Tình cờ dừng chân ở quầy sách Văn Hóa Nghệ Thuật, cầm một cuốn sách bâng quơ đọc vội vài trang, tôi bị cuốn hút ngay vào những trang viết.",Vietnamese
"Công việc này đòi hỏi người kế toán phải biết cách sắp xếp, xử lý, giải quyết công việc một cách khoa học theo trình tự thời gian, và theo từng mức độ quan trọng.",Vietnamese
"Chính vì điều đó, tôi luôn muốn hoàn thành nhanh và sớm các công việc được giao hơn các đồng nghiệp khác, với mong muốn làm ngắn lại con đường đi đến thành công.",Vietnamese
"Tự đặt rào cản về thời gian cho mình, phải hoàn thành nhiều công việc cùng một lúc và trước tiến độ, tôi nghĩ rằng như thế năng lực của mình sẽ được nhìn nhận và đánh giá cao.",Vietnamese
"Bao suy nghĩ tiêu cực về bản thân cứ như những gam màu tối cứ bị vẽ ra trong đầu tôi, tôi ngày càng sống khép mình, chui vào vỏ ốc, lủi thủi làm việc.",Vietnamese
"Nghĩa là ngọc mà không được mài dũa thì không thể trở thành món đồ có giá trị, cũng như người mà không học thì không biết được lý lẽ.",Vietnamese
"Trước hết là chúng ta “học để biết”, để nhận thức được đúng, sai, tốt, xấu, hiểu rõ được các vấn đề.",Vietnamese
"Hai phạm trù này luôn sóng đôi với nhau, bổ sung cho nhau và không thể tách rời được.",Vietnamese
"Từ đó tạo cho nền tảng phát triển vững chắc, có năng lực trong công việc chuyên môn, rèn luyện nhân cách bản thân tốt đẹp hơn, góp phần xây dựng xã hội văn minh, hiện đại, tiến bộ hơn.",Vietnamese
"Mùa xuân là mùa đẹp nhất trong năm, tuổi trẻ của thanh niên cũng như mùa xuân.",Vietnamese
Người làm nội dung không nghĩ ra nội dung.,Vietnamese
Một cột khói lớn đang bốc lên dữ dội ở đường Đê La Thành nhỏ.,Vietnamese
"Để cùng đồng hành với hai đội bóng đại diện Việt Nam trên đấu trường khu vực, fan hâm mộ không nên bỏ qua 3 điều sau.",Vietnamese
Nhìn vào mắt em cười lúc em đang có chuyện kể lại.,Vietnamese
Đan hai chân vào nhau thật chặt khi em thu mình dưới ánh trăng.,Vietnamese
"Khi môi em không bao giờ nguội, anh vẫn không cần, không cần, không cần.",Vietnamese
"Tuần vừa qua, quá nhiều việc anh không muốn nghĩ lại nên hôm nay: kế hoạch không có kế hoạch.",Vietnamese
"Mỡ trong chảo bắn lên, cà phê phin thì chảy xuống.",Vietnamese
ถนนมิตรภาพ รถหนาแน่น เริ่มติดสะสม เร่งเปิดช่องทางพิเศษ ช่วงใกล้รอยต่อโคราช-สระบุรี ขณะสาย 24 รถแน่นแต่ยังเคลื่อนตัวได้ดี,Thai
เนื่องจากการจราจรในช่วงดังกล่าว มีรถสะสมจำนวนมาก ทำให้เคลื่อนตัวได้ช้า สลับหยุดนิ่ง แต่เมื่อผ่านจุดนี้ไปแล้ว สามารถทำความเร็วได้ตามกฎหมายกำหนด,Thai
เจ้าหน้าที่ฯ ต้องรีบนำรถดับเพลิงออกระงับเหตุ เพื่อไม่ให้เกิดผลกระทบต่อผู้ที่สัญจรขับขี่เดินทางกลับกรุงเทพฯ,Thai
การอดนอนก่อนออกเที่ยวก็เหมือนไปรบแบบไม่เต็มร้อย เมื่อร่างกายไม่พร้อมก็ย่อมส่งผลให้ระบบประสาททำงานไม่ดีจนเมาเรือง่ายได้เหมือนกัน,Thai
หลายคนอาจคิดว่าถ้าไม่ได้กินอะไรเข้าไป ก็จะไม่มีอะไรออกมา แต่กลับกันเมื่อมันจะออก ก็ย่อมมีอะไรให้ออกเหมือนกัน ดังนั้นเราจึงไม่ควรปล่อยให้ท้องว่างหรืออิ่มเกินไปอย่างน้อยสัก 30 นาที,Thai
การนั่งหน้าและมองไปข้างหน้าทำให้ตาและหูรับรู้การเคลื่อนไหวของเรือได้ดีขึ้น รวมถึงหาที่ที่มีอากาศถ่ายเทมองเห็นวิวไกลให้ระบบร่างกายรู้สึกตัวว่ากำลังเคลื่อนไหวอยู่ และมีสมาธิมากขึ้น,Thai
การหายใจเข้าออกในจังหวะที่สม่ำเสมอกันจะช่วยให้ร่างกายได้รู้สึกผ่อนคลายมากขึ้น,Thai
การเคี้ยวหมากฝรั่งจะช่วยกระตุ้นการทำงานของระบบประสาทหูลดอาการโคลงเคลงของเรือ,Thai
สตรีผู้เป็นนางร้ายที่คนทั้งเมืองหลวงต่างเกลียดชัง คู่หมั้นก็ไม่ใส่ใจ สุดท้ายยังทำผิดจนถูกเนรเทศให้เเต่งงานกับชาวบ้านที่ยากจนในเขตชนบทเพื่อลงโทษ,Thai
ท็อป ชายหนุ่มนักศึกษาปี 3ที่พึ่งอกหักจากคนรักและเมามายด้วยความโสกเศร้าได้พบกับระบบที่จะเปลี่ยนชีวิตของเขาไปตลอดกาล,Thai
เนื่องจากช่วงนี้มีเวลาว่าง  เลยอยากลองหาประสบการณ์ด้านงานแปลค่ะ โดยส่วนตัวชอบมังงะ มันฮวา ค่ะ ตามอ่านของคนอื่นแล้วอยากลองเป็นของตัวเองบ้างค่ะ ใครพอจะมีคำแนะนำบ้างไหมค่ะ หรือจะให้เป็นผู้ช่วยได้ค่ะ พร้อมจะเรียนรู้ค่ะ,Thai
สำคัญที่สุดคือเริ่มจากมีความรู้ภาษาและวัฒนธรรมของงานที่เราแปลกับรู้ภาษาไทย พวกคำถูกต้องและการแต่งประโยค แปลเสร็จก็ลองกลับมาอ่านดูว่าแปลถูกไหม อ่านเข้าใจไหม,Thai
คณะครุศาสตร์ สาขาวิชาจิตวิทยาการปรึกษา การแนะแนวและการศึกษาพิเศษ วิชาเอกจิตวิทยาการปรึกษาและแนะแนว,Thai
เมื่อเปิดระเบียบการรับสมัครของแต่ละมหาวิทยาลัยขึ้นมา น้องๆ จะต้องอ่านข้อมูลต่างๆ ให้ครบถ้วน อ่านให้ครบทุกบรรทัด ทุกตัวอักษรเลย ซึ่งปกติแล้วระเบียบการจะมีองค์ประกอบหลักๆ ที่น้องๆ ควรจะต้องรู้ และทำความเข้าใจ,Thai
มหาวิทยาลัยจะประกาศกำหนดการ หรือปฏิทินการสมัครเอาไว้เพื่อให้ได้เตรียมตัวกันว่า มหาวิทยาลัยจะเปิด-ปิดรับสมัครเมื่อไหร่ ต้องส่งเอกสารเมื่อไหร่ ชำระค่าสมัครภายในเมื่อไหร่ ประกาศรายชื่อมีสิทธิ์สอบสัมภาษณ์วันไหน,Thai
บางมหาวิทยาลัยจะมีประกาศค่าเล่าเรียน หรือค่าเทอมของสาขาวิชาต่างๆ ไว้ด้วย เพื่อให้น้องๆ ได้ทราบตั้งแต่ก่อนการยื่นสมัครเลย,Thai
รู้เท่าทันธรรมดาของสิ่งทั้งหลาย รู้แจ้งความจริงของโลกและชีวิต ทำให้วางใจถูกต้องต่อทุกสิ่งทุกอย่าง สามารถแก้ ปัญหาชีวิต ขจัดความทุกข์ในจิตใจของตนได้ หลุดพ้นจากความยึดติดถือมั่นในสิ่งทั้งหลาย ดำเนินชีวิตด้วยปัญญาอย่างแท้จริง,Thai
ได้เรียนรู้เรื่องเกี่ยวกับตนเองและผู้ที่อยู่รอบข้าง ตลอดจนสภาพแวดล้อมในท้องถิ่น ที่อยู่อาศัยและเชื่องโยงประสบ การณ์ไปสู่โลกกว้าง,Thai
มีเด็กหลายคนที่ไม่ชอบเรียนวิชาสังคมศึกษา ศาสนา และวัฒนธรรม แต่ต้องเรียน เพราะหลักสูตรกำหนดให้เรียน และต้องใช้ผลการเรียนเพื่อศึกษาต่อในระดับที่สูงขึ้น,Thai
ให้เด็กๆบันทึกสิ่งที่ได้เรียนรู้ นำเสนอให้เพื่อนฟัง และให้เพื่อนแต่ละกลุ่มให้ข้อเสนอแนะเพิ่มเติม จากนั้นครูและเด็กหาข้อสรุปร่วมกันและหาแนวปฏิบัติที่สามารถนำไปใช้ได้ในชีวิตจริง,Thai
การได้รู้ ได้กระจ่างจากเรื่องหนึ่ง โดยอย่างยิ่งถ้ามันสามารถเปลี่ยนทัศนคติเราได้ ย่อมเป็นเรื่องที่ดี และบางทีมันก็สำคัญด้วยว่า ต้องใช้เวลานานแค่ไหนถึงจะรู้กระจ่างในเรื่องนั้น,Thai
ความรัก มีทั้งความหลากหลาย และความละเอียดอ่อน แม้ยุคปัจจุบัน ความรักจะก้าวข้ามข้อจำกัดเรื่องเพศ เรื่องขนบต่าง ๆ มีสิทธิเสรีมากเพียงใด แต่ความสมหวัง หรือผิดหวัง ก็ยังมีพื้นฐานสาเหตุไม่ต่างจากเดิมเท่าไร,Thai
"เคยไหม? เวลาเห็นคนอื่นทำอะไรแล้ว เขาสำเร็จ, ได้เงิน, หรือดูมีความสุข ไม่ว่าจะเป็นการลงทุน การทำงานอดิเรก หรือท่องเที่ยว แว็บแรก เราก็อยากทำเหมือนเขาบ้าง แต่พอไป ๆ มา ๆ เราก็ขี้เกียจไม่อยากเริ่มต้น ทั้งที่ก็อยากได้แบบเขาอยู่นะ",Thai
บางทีสิ่งที่น่ากลัวกว่า “ความล้มเหลว” คือ “คนที่เฝ้ามองเรา” ล้มเหลว,Thai
วิธีที่ดีที่สุด ถ้าไม่อยากเจอความล้มเหลว หรือประสบความล้มเหลวน้อยที่สุด คือ การวางแผนอย่างรอบคอบ และลงมือทำอย่างจริงจัง ย้ำตรง “รอบคอบ” และ “จริงจัง” แต่ในเมื่อความสำเร็จก็ไม่มีสิ่งใดการันตีได้เช่นกัน มันก็มีความหมายไม่ต่างกับว่าเรายังมีโอกาสล้มเหลวอยู่ดี,Thai
หนึ่งวิธีหลีกหนีความล้มเหลว คือ การปรับสิ่งแวดล้อมของเรา ไม่ว่าจะจากคนอื่นที่เฝ้ามองเรา หรือการที่เราไปเฝ้ามองคนอื่นก็ตาม ในสิ่งที่อาจกระทบความเชื่อมั่น หรือไม่สร้างสรรค์ต่อเป้าหมายที่เรากำลังกระทำ,Thai
แม้ชีวิตจะต้องเดินเปียกปอน เหม็นกลิ่นโคลน เปรอะเปื้อน แต่มันก็ล้างได้ ทำความสะอาดได้ หรือไม่ สุดท้ายก็ต้องเหือดแห้ง จางหายไปในช่วงเวลาหนึ่งอยู่ดี,Thai
น่าเสียดายแทนอินโดนีเซียจัง ... รวมถึงเสียดายแทนไทยด้วยที่อาจจะไม่ได้ลับแข้งกับทีมที่แข็งแกร่งอย่างอินโด,Thai
สงกรานต์ขอปะแป้งหน่อยได้ไหม แฮร่!! เราจะพาชาวแก๊งค์ไปสาดความมันส์ไปพร้อมกัน,Thai
สงกรานต์ปีนี้พี่โตขึ้นเยอะเลย เข้าใจและตั้งใจมากขึ้น แม่ไม่ต้องพูดเยอะแล้ววว,Thai
การให้ที่ยิ่งใหญ่ในพระพุทธศาสนาไม่ต้องใช้เงินนะ บางคนเคยได้ยินได้ฟังมาการถวายมหาทานที่ยิ่งใหญ่นี่ต้องทำบุญทีละมากๆ,Thai
วัยรุ่นสีคิ้ว เดือดทะลุปรอท! ตีกันส่งท้ายสงกรานต์65 ใช้ปืนตบหน้า ปืนลั่นโดนลูกหลงเจ็บ,Thai
3 นักบินอวกาศชาวจีน เสร็จสิ้นภารกิจอันยาวนานบนสถานีอวกาศเทียนกง เดินทางกลับสู่โลกโดยสวัสดิภาพแล้วในวันนี้,Thai
"บทสวดมนต์ที่วิเศษที่สุดก็คือ 'พุทธคุณ ธรรมคุณ สังฆคุณ' ""...มนต์อันใดที่มีแนวโน้มไปในทางไสยศาสตร์ มนต์อันนั้นทำให้จิตร้อน เพราะมันมีพลังร้อน",Thai
“เวลากรรมบังนี่ มันโง่ทุกคนเลยว่ะ” หลวงปู่ศุข เมตตาเตือนสติ,Thai
ดาราหนุ่ม แจ้งความแล้ว อ้างแค่เข้าไปคุยนางแบบโต๊ะข้างๆ กลับถูกทำร้าย⁣,Thai
ทรงน้ำขอพรจากคุณแม่ทันครับ ขอให้แม่มีสุขภาพแข็งแรงเด้อครับ อยู่ฮ่มบุญ ฮ่มบารมีให้ลูกไปโดนๆเด้อครับ อยากสิบอกแม่ว่าฮักแม่ที่สุดในโลกเด้อ,Thai
ปีที่แล้วพี่แจ็คสู้กับโลกซึมเศร้าอย่างหนักเลยแต่ก็ดีใจที่พี่กล้าที่จะเล่าให้ฟังแล้วอะ เพราะปกติเก็บไว้คนเดียวไม่คิดจะพูดเรื่องนี้กะใครจริงๆ,Thai
เราหลบอยู่หลังความไร้ตัวตนบนโลกโซเชียลเพื่อทำร้ายใครก็ได้งั้นหรอ,Thai
"กุงงนะ ลิซ่าไปด้วยความสามารถตัวเองล้วนๆ ออดิชั่นได้ที่1จาก4,000คน กว่าจะดังระดับโลกถึงทุกวันนี้ มันไม่น่าชื่นชมตรงไหนอะ",Thai
จัดหนัก จัดจริง ชั่วจิต อลัชชี หลงกาม,Thai
ค่อยๆอ่านบทความของเขาย้อนๆขึ้นไปเรื่อยๆกลัวเหมือนกันนะ อย่างน้อยเราควรตระหนักถึงโลกเราตอนนี้,Thai
เป็นสารคดีที่ทั้งน่ารักและเปิดโลกเกี่ยวกับการฝึกสุนัขนำทางสำหรับผู้พิการทางสายตามากค่ะ,Thai
ดราม่าดังๆที่เค้าด่ากันไม่ใช่เรื่องวีแกนออกมาพูดเรื่องโลกร้อนจ้า แต่เป็นเรื่องวีแกนชี้หน้าด่าคนแดกเนื้อเป็นฆาตรกร,Thai
พูดได้ไหมพี่จี้ นุนิวสวยมาก การขยับตัวนิดหน่อย จริตเรียบๆแต่แพงเว่อ ดูสวยแบบผู้ลากมากดี สวยแบบเทิดทูน สวยแบบบนโลกใบนี้โรยด้วยดอกไม้,Thai
น้องแบมดีมากที่สุดเท่าที่ไอดอลคนนึงจะเป็นให้แฟนคลับได้อ่ะ ความสามารถน้องมันระดับโลกแล้วจริงๆแต่ไม่รู้สึกถึงระยะห่างระหว่างศิลปินกับแฟนคลับ,Thai
แมน ออฟ เดอะ แมทข์ นัดชิง ตัวจริงฟอร์มเทพรับแชมป์โลก,Thai
วันหยุดใกล้หมดแล้ววววว หวังว่าทุกคนจะชาร์จแบตเติมพลังใจกันเต็มที่น้า นี่เป็นอีกหนึ่งคนที่เวลาไปเที่ยวชอบฟังเสียงลมเสียงน้ำเสียงคลื่น,Thai
รองโฆษกรัฐบาล จาก ปชป. เผยรู้สึกแย่-พูดไม่ออก เคส 'ปริญญ์' ยอมรับส่งผลกระทบต่อพรรคอย่างมาก,Thai
ผู้นำประเทศที่นำประเทศไปสู่สงครามเพียงเพื่อจะได้ไปอยู่ใต้อำนาจนาโตและสหรัฐฯท่านว่าเป็นผู้นำที่โง่หรือฉลาดกันแน่,Thai
ขอบคุณที่มาสตรีมค่ะ คิดถึงการสตรีมของพี่เอกมากกก แม้ว่าจะดูคลิปทุกวัน ก็ยังคิดถึง ชอบการเม้ามอยกันแบบนี้มาก ในช่องแชทคือสนุกสนานกันมากกกก,Thai
ยังจำความรู้สึกตอนแรกได้อยู่เลยตอนพี่เอกสตีมเกมนี้ครั้งแรก ฉากเปิดเรื่องนี้ทำให้ขนลุกสุดๆเลย,Thai
วิชานี้สนุกมากก ชอบความที่คุยเรื่องเซ็กซ์กันได้ไหลลื่น เปิดเผยมากค่ะ มันทำให้ได้ความรู้อะไรอีกเยอะเลย,Thai
เริ่มต้นที่ทำตัวขนมปังกันค่ะ ใส่นมสดเย็นลงในอ่างผสม ตามด้วยน้ำตาลทราย เกลือ และยีสต์ ตีส่วนผสมทุกอย่างด้วยตะกร้อมือให้เข้ากันดี,Thai
ระหว่างรอขนมปังเย็น มาทำไส้ครีมชีสกัน ส่วนผสมมีครีมชีสและน้ำตาลทราย คนส่วนผสมให้เข้ากันจนน้ำตาลละลาย ตักใส่ถุงบีบ,Thai
